PET_id,PET_jp,Domain,Register,Literal equivalent (JP),English gloss (euphemism),English gloss (literal),Euphe_status
1,ご年配,Aging,Formal,老人,elderly person,old person,always
2,ご高齢,Aging,Formal,老い,advanced age,old age,always
3,シニア,Aging,Neutral,老人,senior,old person,sometimes
4,年齢を重ねる,Aging,Neutral,老いる,accumulate years,get old,always
5,セカンドライフ,Aging,Neutral,老後,second life,retirement,always
6,シルバー世代,Aging,Neutral,高齢者,silver generation,elderly,always
7,芋っぽい,Appearance,Informal,ダサい,countrified / unfashionable,like a potato,always
8,顔をいじる,Appearance,Informal,整形する,to get work done (on the face),to get plastic surgery,sometimes
9,社会の窓,Appearance,Neutral,ズボンのチャック,pants window (zipper),pants fly,always
10,丸い,Appearance,Neutral,太っている,round,fat,sometimes
11,ぽっちゃり,Appearance,Informal,太っている,chubby,fat,always
12,太め,Appearance,Neutral,太っている,bigger,fat,sometimes
13,お手洗い,Bodily Functions,Neutral,便所,restroom,toilet,always
14,化粧室,Bodily Functions,Neutral,便所,powder room,toilet,always
15,大きい方,Bodily Functions,Informal,糞,poop,feces,sometimes
16,小さい方,Bodily Functions,Informal,尿,pee,urine,sometimes
17,用を足す,Bodily Functions,Neutral,排泄,do one’s business,urinate/defecate,always
18,お通じ,Bodily Functions,Neutral,排便,bowel movement,defecation,always
19,月のもの,Bodily Functions,Neutral,月経,monthly thing,menstruation,always
20,女の子の日,Bodily Functions,Neutral,月経,girl’s day,menstruation,sometimes
21,デリケートゾーン,Bodily Functions,Neutral,性器,delicate zone,genitals,sometimes
22,プライベートゾーン,Bodily Functions,Neutral,性器,private zone,genitals,sometimes
23,一緒に寝る,Sexuality & Relationships,Informal,性交,sleep together,have sex,sometimes
24,授かる,Bodily Functions,Neutral,妊娠する,be blessed with,get pregnant,sometimes
25,ご懐妊,Bodily Functions,Neutral,妊娠,expecting,pregnancy,always
26,おめでた,Bodily Functions,Neutral,妊娠,happy news,pregnancy,always
27,できちゃった,Bodily Functions,Informal,妊娠,oops pregnancy,unintended pregnancy,sometimes
28,できちゃった婚,Bodily Functions,Informal,妊娠による結婚,shotgun wedding,pregnancy marriage,always
29,お花を摘む,Bodily Functions,Neutral,排泄,go to the restroom (ladies’ euphemism),pick (real) flowers,sometimes
30,キジ撃ち,Bodily Functions,Neutral,排泄,pee outdoors (men’s euphemism),shoot a pheasant,sometimes
31,フン,Bodily Functions,Informal,大便,feces,poop,sometimes
32,足を洗う,Crime & Social Issues,Neutral,更生,wash one’s foots of crime/vice,wash one’s foots,sometimes
33,運び屋,Crime & Social Issues,Neutral,麻薬を運搬する人,porter / delivery person,drug mule ,sometimes
34,ブツ,Crime & Social Issues,Informal,麻薬 / 銃,thing / stuff,"drug, gun",sometimes
35,白い粉,Crime & Social Issues,Neutral,麻薬,white powder,drug,sometimes
36,一線を超える,Crime & Social Issues,Neutral,逸脱する・法を破る,to cross the line,to commit a crime or serious misconduct,always
37,不祥事,Crime & Social Issues,Neutral,事件,scandal,criminal case,always
38,タマを取る,Crime & Social Issues,Informal,殺す,to take someone’s life,to kill,sometimes
39,始末する,Crime & Social Issues,Neutral,殺す・排除する,to take care of someone,to kill or eliminate,sometimes
40,見送る,Death & Dying,Neutral,葬る,to see off (the deceased),to bury/hold a funeral,sometimes
41,亡くなる,Death & Dying,Neutral,死ぬ,pass away,die,sometimes
42,お亡くなりになる,Death & Dying,Formal,死ぬ,pass away (honorific),die,always
43,ご逝去,Death & Dying,Formal,死亡,decease,death,always
44,永眠する,Death & Dying,Neutral,死ぬ,eternal rest,fall asleep forever,always
45,他界する,Death & Dying,Neutral,死ぬ,pass into another world,die,always
46,あの世に行く,Death & Dying,Neutral,死ぬ,go to the other world,die,always
47,旅立つ,Death & Dying,Neutral,死ぬ,depart on a journey,die,sometimes
48,帰らぬ人となる,Death & Dying,Neutral,死ぬ,become one who never returns,die,always
49,召される,Death & Dying,Formal,死ぬ,be called,die,sometimes
50,安らかに眠る,Death & Dying,Neutral,死ぬ,sleep peacefully,die,sometimes
51,冷たくなる,Death & Dying,Neutral,死ぬ,become cold,die,sometimes
