row_id,PET_id,PET,expanded_text,span_text,label,whole_text
0,1,ご年配,ばいいのかがわからない」ということをよく耳にします。そういうことをおっしゃるのは[PET_BOUNDARY]ご年配の[PET_BOUNDARY]方々ではありません。三十代の先輩が二十代の後輩を見て、「今の若い人は」と感じて,ご年配の,1,ばいいのかがわからない」ということをよく耳にします。そういうことをおっしゃるのはご年配の方々ではありません。三十代の先輩が二十代の後輩を見て、「今の若い人は」と感じて
1,1,ご年配,る人が多いので困っております（ーー；）皆様はどう思われますか？私はよく自分よりも[PET_BOUNDARY]ご年配の[PET_BOUNDARY]方とお話しする機会が多いので、当時と現在の貨幣価値の格差については理解している,ご年配の,1,る人が多いので困っております（ーー；）皆様はどう思われますか？私はよく自分よりもご年配の方とお話しする機会が多いので、当時と現在の貨幣価値の格差については理解している
2,1,ご年配,その子供が奪ってバット代わりに遊び始めました。小学生だと思いますが。杖がなくなり[PET_BOUNDARY]ご年配の[PET_BOUNDARY]方がオロオロ始めたんです。その子の両親はその光景をジーっとただ見てるだけでした,ご年配の,1,その子供が奪ってバット代わりに遊び始めました。小学生だと思いますが。杖がなくなりご年配の方がオロオロ始めたんです。その子の両親はその光景をジーっとただ見てるだけでした
3,1,ご年配,の目障りな老人を追い払っておくべきであったと悔やんでいる。 「見るところ、相当の[PET_BOUNDARY]ご年配では[PET_BOUNDARY]ないか。あいにく冷たいものも降ってきている。こんなところに放置しておかないで,ご年配では,1,の目障りな老人を追い払っておくべきであったと悔やんでいる。 「見るところ、相当のご年配ではないか。あいにく冷たいものも降ってきている。こんなところに放置しておかないで
4,1,ご年配,，独特な雰囲気がただよう。２０代から３０代くらいの若い男性がほとんどで，あとは，[PET_BOUNDARY]ご年配の[PET_BOUNDARY]，威厳のある，役職が高そうなかんじの男性が数人。若いひとたちは作務衣か，目立た,ご年配の,1,，独特な雰囲気がただよう。２０代から３０代くらいの若い男性がほとんどで，あとは，ご年配の，威厳のある，役職が高そうなかんじの男性が数人。若いひとたちは作務衣か，目立た
5,2,ご高齢,するために軽井沢へ行こうという早朝に、急に腸の閉塞が起ったのです。痛みがあって、[PET_BOUNDARY]ご高齢ですから[PET_BOUNDARY]麻酔をして手術をするのは難しいということになり、ご自宅の鎌倉から聖路加へ,ご高齢ですから,1,するために軽井沢へ行こうという早朝に、急に腸の閉塞が起ったのです。痛みがあって、ご高齢ですから麻酔をして手術をするのは難しいということになり、ご自宅の鎌倉から聖路加へ
6,2,ご高齢,した。その後はこの薬は使ってませんが元気になられお話も出来るようになられてます。[PET_BOUNDARY]ご高齢ですので[PET_BOUNDARY]身体に負担の掛かるような検査はしてませんが血液尿の検査では今のところ正常,ご高齢ですので,1,した。その後はこの薬は使ってませんが元気になられお話も出来るようになられてます。ご高齢ですので身体に負担の掛かるような検査はしてませんが血液尿の検査では今のところ正常
7,2,ご高齢,ありますが、お店を一人で営む店主の佐藤美恵さんが、僕が通っていた頃、既にかなりの[PET_BOUNDARY]ご高齢だった[PET_BOUNDARY]ことに由来します。しかし、果たしてこのカフェーは昔のまま、今も生き永らえて,ご高齢だった,1,ありますが、お店を一人で営む店主の佐藤美恵さんが、僕が通っていた頃、既にかなりのご高齢だったことに由来します。しかし、果たしてこのカフェーは昔のまま、今も生き永らえて
8,2,ご高齢,的な予防管理を行っていることもあり、入れ歯の患者さんはほとんどいなくなりました。[PET_BOUNDARY]ご高齢の[PET_BOUNDARY]患者さんでも多くの歯が残っています。歯が残っているので、どなたも、たいへん元気,ご高齢の,1,的な予防管理を行っていることもあり、入れ歯の患者さんはほとんどいなくなりました。ご高齢の患者さんでも多くの歯が残っています。歯が残っているので、どなたも、たいへん元気
9,2,ご高齢,快適な生活をしておられます。 インプラントの治療は、できる限り外科的侵襲を抑え、[PET_BOUNDARY]ご高齢の[PET_BOUNDARY]方にも可能な、患者さんに優しい手術を考案し、行っています。 当院の治療の流れは,ご高齢の,1,快適な生活をしておられます。 インプラントの治療は、できる限り外科的侵襲を抑え、ご高齢の方にも可能な、患者さんに優しい手術を考案し、行っています。 当院の治療の流れは
10,2,ご高齢,問題」に違いありません。エイリアンと実際に戦った三兄弟。過去に二度出演されている[PET_BOUNDARY]ご高齢の[PET_BOUNDARY]マジシャン。子供にとっても、そして大人になっても、それがどんなに年老いても、夢,ご高齢の,1,問題」に違いありません。エイリアンと実際に戦った三兄弟。過去に二度出演されているご高齢のマジシャン。子供にとっても、そして大人になっても、それがどんなに年老いても、夢
11,2,ご高齢,ているのか」と聞かれ、私は「日野原先生のご本のおかげ」と説明しています。 先生、[PET_BOUNDARY]ご高齢に[PET_BOUNDARY]かかわらず元気一杯、日本の医療に頑張ってくださっているお姿に頭が下がります。国,ご高齢に,1,ているのか」と聞かれ、私は「日野原先生のご本のおかげ」と説明しています。 先生、ご高齢にかかわらず元気一杯、日本の医療に頑張ってくださっているお姿に頭が下がります。国
